entity_id,state,last_changed
sensor.dinning_room_light_sensor_battery,unavailable,2024-09-18T23:26:03.376Z
sensor.node_10_node_status,unavailable,2024-09-18T23:24:16.230Z
sensor.node_10_node_status,alive,2024-09-18T23:26:03.937Z
button.node_10_ping,unavailable,2024-09-18T23:24:16.257Z
button.node_10_ping,unknown,2024-09-18T23:26:04.275Z
switch.in_wall_paddle_switch_qfsw_500s_4,off,2024-09-17T07:37:07.145Z
switch.in_wall_paddle_switch_qfsw_500s_4,unavailable,2024-09-18T23:24:16.323Z
switch.in_wall_paddle_switch_qfsw_500s_4,off,2024-09-18T23:26:05.721Z
switch.in_wall_paddle_switch_qfsw_500s_4,on,2024-09-21T00:32:35.997Z
switch.in_wall_paddle_switch_qfsw_500s_4,off,2024-09-21T08:15:25.061Z
switch.in_wall_paddle_switch_qfsw_500s_4,on,2024-09-23T01:00:41.325Z
switch.in_wall_paddle_switch_qfsw_500s_4,off,2024-09-23T03:38:39.325Z
switch.in_wall_paddle_switch_qfsw_500s_4,on,2024-09-24T00:36:39.263Z
update.in_wall_paddle_switch_qfsw_500s_firmware_4,unavailable,2024-09-18T23:24:16.329Z
update.in_wall_paddle_switch_qfsw_500s_firmware_4,off,2024-09-18T23:26:05.771Z
light.dinning_room_chandelier_basic,unavailable,2024-09-18T23:24:16.321Z
light.dinning_room_chandelier_basic,off,2024-09-18T23:26:05.680Z
event.dinning_room_chandelier_event_value,unavailable,2024-09-18T23:24:16.274Z
event.dinning_room_chandelier_event_value,2024-03-24T02:26:15.872+00:00,2024-09-18T23:26:05.628Z
event.dinning_room_chandelier_scene_id,unavailable,2024-09-18T23:24:16.274Z
event.dinning_room_chandelier_scene_id,unknown,2024-09-18T23:26:05.628Z
event.dinning_room_chandelier_scene_001,unavailable,2024-09-18T23:24:16.275Z
event.dinning_room_chandelier_scene_001,2024-09-12T14:54:09.394+00:00,2024-09-18T23:26:05.629Z
event.dinning_room_chandelier_scene_001,2024-09-21T00:32:35.951+00:00,2024-09-21T00:32:35.952Z
event.dinning_room_chandelier_scene_001,2024-09-23T01:00:41.289+00:00,2024-09-23T01:00:41.289Z
event.dinning_room_chandelier_scene_001,2024-09-24T00:36:39.236+00:00,2024-09-24T00:36:39.236Z
event.dinning_room_chandelier_scene_002,unavailable,2024-09-18T23:24:16.275Z
event.dinning_room_chandelier_scene_002,2024-09-13T19:55:41.995+00:00,2024-09-18T23:26:05.629Z
event.dinning_room_chandelier_scene_002,2024-09-21T08:15:25.017+00:00,2024-09-21T08:15:25.018Z
event.dinning_room_chandelier_scene_002,2024-09-23T17:08:46.134+00:00,2024-09-23T17:08:46.135Z
sensor.dinning_room_chandelier_last_seen,2024-09-17T07:37:07+00:00,2024-09-17T07:37:07.323Z
sensor.dinning_room_chandelier_last_seen,unavailable,2024-09-18T23:24:16.230Z
sensor.dinning_room_chandelier_last_seen,2024-09-18T23:25:15+00:00,2024-09-18T23:26:04.277Z
sensor.dinning_room_chandelier_last_seen,2024-09-21T00:32:35+00:00,2024-09-21T00:32:35.950Z
sensor.dinning_room_chandelier_last_seen,2024-09-21T08:15:23+00:00,2024-09-21T08:15:23.037Z
sensor.dinning_room_chandelier_last_seen,2024-09-21T08:15:25+00:00,2024-09-21T08:15:25.016Z
sensor.dinning_room_chandelier_last_seen,2024-09-23T01:00:41+00:00,2024-09-23T01:00:41.280Z
sensor.dinning_room_chandelier_last_seen,2024-09-23T03:38:38+00:00,2024-09-23T03:38:39.201Z
sensor.dinning_room_chandelier_last_seen,2024-09-23T03:38:39+00:00,2024-09-23T03:38:39.320Z
sensor.dinning_room_chandelier_last_seen,2024-09-23T17:08:44+00:00,2024-09-23T17:08:44.155Z
sensor.dinning_room_chandelier_last_seen,2024-09-23T17:08:46+00:00,2024-09-23T17:08:46.132Z
sensor.dinning_room_chandelier_last_seen,2024-09-24T00:36:39+00:00,2024-09-24T00:36:39.230Z
sensor.node_11_node_status,unavailable,2024-09-18T23:24:16.230Z
sensor.node_11_node_status,alive,2024-09-18T23:26:03.938Z
button.node_11_ping,unavailable,2024-09-18T23:24:16.257Z
button.node_11_ping,unknown,2024-09-18T23:26:04.325Z
light.in_wall_paddle_dimmer_qfsw_500s_3,off,2024-09-17T06:29:34.080Z
light.in_wall_paddle_dimmer_qfsw_500s_3,on,2024-09-17T15:11:18.210Z
light.in_wall_paddle_dimmer_qfsw_500s_3,off,2024-09-18T07:45:35.834Z
light.in_wall_paddle_dimmer_qfsw_500s_3,on,2024-09-18T14:53:47.318Z
light.in_wall_paddle_dimmer_qfsw_500s_3,off,2024-09-18T21:52:58.848Z
light.in_wall_paddle_dimmer_qfsw_500s_3,unavailable,2024-09-18T23:24:16.321Z
light.in_wall_paddle_dimmer_qfsw_500s_3,off,2024-09-18T23:26:05.681Z
light.in_wall_paddle_dimmer_qfsw_500s_3,on,2024-09-19T00:58:34.510Z
light.in_wall_paddle_dimmer_qfsw_500s_3,off,2024-09-19T07:25:10.302Z
light.in_wall_paddle_dimmer_qfsw_500s_3,on,2024-09-20T00:51:03.305Z
light.in_wall_paddle_dimmer_qfsw_500s_3,off,2024-09-20T07:01:02.905Z
light.in_wall_paddle_dimmer_qfsw_500s_3,on,2024-09-20T15:28:26.165Z
light.in_wall_paddle_dimmer_qfsw_500s_3,off,2024-09-20T19:51:30.402Z
light.in_wall_paddle_dimmer_qfsw_500s_3,on,2024-09-21T00:32:37.461Z
light.in_wall_paddle_dimmer_qfsw_500s_3,off,2024-09-21T03:38:23.771Z
light.in_wall_paddle_dimmer_qfsw_500s_3,on,2024-09-21T03:59:55.577Z
light.in_wall_paddle_dimmer_qfsw_500s_3,off,2024-09-21T08:15:21.766Z
light.in_wall_paddle_dimmer_qfsw_500s_3,on,2024-09-21T15:42:58.087Z
light.in_wall_paddle_dimmer_qfsw_500s_3,off,2024-09-23T03:38:37.401Z
light.in_wall_paddle_dimmer_qfsw_500s_3,on,2024-09-23T15:02:00.285Z
light.in_wall_paddle_dimmer_qfsw_500s_3,off,2024-09-23T17:08:47.326Z
light.in_wall_paddle_dimmer_qfsw_500s_3,on,2024-09-24T00:36:42.529Z
update.in_wall_paddle_dimmer_qfsw_500s_firmware_3,unavailable,2024-09-18T23:24:16.329Z
update.in_wall_paddle_dimmer_qfsw_500s_firmware_3,off,2024-09-18T23:26:05.761Z
light.dinning_room_ceiling_light_basic,unavailable,2024-09-18T23:24:16.321Z
light.dinning_room_ceiling_light_basic,on,2024-09-18T23:26:05.680Z
event.dinning_room_ceiling_light_event_value,unavailable,2024-09-18T23:24:16.275Z
event.dinning_room_ceiling_light_event_value,2024-04-29T23:17:14.929+00:00,2024-09-18T23:26:05.630Z
event.dinning_room_ceiling_light_scene_001,2024-09-18T14:53:46.396+00:00,2024-09-18T14:53:46.396Z
event.dinning_room_ceiling_light_scene_001,unavailable,2024-09-18T23:24:16.275Z
event.dinning_room_ceiling_light_scene_001,2024-09-18T14:53:46.396+00:00,2024-09-18T23:26:05.630Z
event.dinning_room_ceiling_light_scene_001,2024-09-19T00:58:32.896+00:00,2024-09-19T00:58:32.896Z
event.dinning_room_ceiling_light_scene_001,2024-09-20T00:51:02.318+00:00,2024-09-20T00:51:02.318Z
event.dinning_room_ceiling_light_scene_001,2024-09-20T15:28:25.238+00:00,2024-09-20T15:28:25.239Z
event.dinning_room_ceiling_light_scene_001,2024-09-21T00:32:36.484+00:00,2024-09-21T00:32:36.485Z
event.dinning_room_ceiling_light_scene_001,2024-09-21T01:15:25.253+00:00,2024-09-21T01:15:25.254Z
event.dinning_room_ceiling_light_scene_001,2024-09-21T01:39:20.728+00:00,2024-09-21T01:39:20.729Z
event.dinning_room_ceiling_light_scene_001,2024-09-21T01:39:25.863+00:00,2024-09-21T01:39:25.863Z
event.dinning_room_ceiling_light_scene_001,2024-09-21T15:42:55.422+00:00,2024-09-21T15:42:55.422Z
event.dinning_room_ceiling_light_scene_001,2024-09-21T18:38:58.155+00:00,2024-09-21T18:38:58.156Z
event.dinning_room_ceiling_light_scene_001,2024-09-21T18:42:37.236+00:00,2024-09-21T18:42:37.236Z
event.dinning_room_ceiling_light_scene_001,2024-09-21T18:42:38.108+00:00,2024-09-21T18:42:38.108Z
event.dinning_room_ceiling_light_scene_001,2024-09-21T18:42:38.890+00:00,2024-09-21T18:42:38.890Z
event.dinning_room_ceiling_light_scene_001,2024-09-23T00:23:13.583+00:00,2024-09-23T00:23:13.584Z
event.dinning_room_ceiling_light_scene_001,2024-09-23T00:23:15.085+00:00,2024-09-23T00:23:15.085Z
event.dinning_room_ceiling_light_scene_001,2024-09-23T15:02:00.044+00:00,2024-09-23T15:02:00.044Z
event.dinning_room_ceiling_light_scene_001,2024-09-24T00:36:42.496+00:00,2024-09-24T00:36:42.496Z
event.dinning_room_ceiling_light_scene_002,2024-09-17T06:29:33.141+00:00,2024-09-17T06:29:33.141Z
event.dinning_room_ceiling_light_scene_002,2024-09-17T07:36:54.746+00:00,2024-09-17T07:36:54.747Z
event.dinning_room_ceiling_light_scene_002,2024-09-18T07:45:33.482+00:00,2024-09-18T07:45:33.482Z
event.dinning_room_ceiling_light_scene_002,unavailable,2024-09-18T23:24:16.275Z
event.dinning_room_ceiling_light_scene_002,2024-09-18T07:45:33.482+00:00,2024-09-18T23:26:05.631Z
event.dinning_room_ceiling_light_scene_002,2024-09-19T07:25:09.315+00:00,2024-09-19T07:25:09.315Z
