entity_id,state,last_changed
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-17T09:15:53.765Z
sensor.roborock_s7_maxv_main_brush_time_left,279315,2024-09-17T09:18:39.827Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-17T09:20:13.797Z
sensor.roborock_s7_maxv_main_brush_time_left,279315,2024-09-17T09:21:44.855Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-17T09:22:44.778Z
sensor.roborock_s7_maxv_main_brush_time_left,279315,2024-09-17T09:23:14.881Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-17T09:25:14.758Z
sensor.roborock_s7_maxv_main_brush_time_left,279315,2024-09-17T09:25:44.873Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-17T09:28:44.788Z
sensor.roborock_s7_maxv_main_brush_time_left,279315,2024-09-17T09:29:14.890Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-17T10:52:16.768Z
sensor.roborock_s7_maxv_main_brush_time_left,279315,2024-09-17T10:52:46.889Z
sensor.roborock_s7_maxv_main_brush_time_left,276476,2024-09-17T12:27:16.825Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-17T19:53:21.766Z
sensor.roborock_s7_maxv_main_brush_time_left,276476,2024-09-17T19:53:51.887Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-17T20:14:25.779Z
sensor.roborock_s7_maxv_main_brush_time_left,276476,2024-09-17T20:14:55.877Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-18T10:52:40.632Z
sensor.roborock_s7_maxv_main_brush_time_left,276476,2024-09-18T10:53:09.873Z
sensor.roborock_s7_maxv_main_brush_time_left,272334,2024-09-18T12:32:39.859Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-18T21:37:43.774Z
sensor.roborock_s7_maxv_main_brush_time_left,272334,2024-09-18T21:38:13.847Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-18T23:05:47.778Z
sensor.roborock_s7_maxv_main_brush_time_left,272334,2024-09-18T23:06:17.860Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-19T03:21:06.962Z
sensor.roborock_s7_maxv_main_brush_time_left,272334,2024-09-19T03:21:37.066Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-19T05:08:40.968Z
sensor.roborock_s7_maxv_main_brush_time_left,272334,2024-09-19T05:09:11.032Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-19T10:45:10.959Z
sensor.roborock_s7_maxv_main_brush_time_left,272334,2024-09-19T10:47:42.022Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-19T10:52:46.331Z
sensor.roborock_s7_maxv_main_brush_time_left,272334,2024-09-19T10:53:16.074Z
sensor.roborock_s7_maxv_main_brush_time_left,269440,2024-09-19T12:26:50.029Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-20T10:52:25.956Z
sensor.roborock_s7_maxv_main_brush_time_left,269440,2024-09-20T10:52:56.080Z
sensor.roborock_s7_maxv_main_brush_time_left,265400,2024-09-20T12:31:26.294Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-20T18:11:31.957Z
sensor.roborock_s7_maxv_main_brush_time_left,265400,2024-09-20T18:12:02.046Z
sensor.roborock_s7_maxv_main_brush_time_left,264904,2024-09-20T19:30:32.034Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-20T20:35:01.959Z
sensor.roborock_s7_maxv_main_brush_time_left,264904,2024-09-20T20:35:32.026Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-21T10:52:39.126Z
sensor.roborock_s7_maxv_main_brush_time_left,264904,2024-09-21T10:53:09.058Z
sensor.roborock_s7_maxv_main_brush_time_left,262165,2024-09-21T12:20:39.074Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-21T12:41:42.973Z
sensor.roborock_s7_maxv_main_brush_time_left,262165,2024-09-21T12:42:13.034Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-21T12:51:46.986Z
sensor.roborock_s7_maxv_main_brush_time_left,262165,2024-09-21T12:52:17.015Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-21T12:53:20.967Z
sensor.roborock_s7_maxv_main_brush_time_left,262165,2024-09-21T12:53:51.088Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-21T12:58:24.995Z
sensor.roborock_s7_maxv_main_brush_time_left,262165,2024-09-21T12:58:55.101Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-21T17:36:32.966Z
sensor.roborock_s7_maxv_main_brush_time_left,262165,2024-09-21T17:37:03.064Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-21T17:47:06.971Z
sensor.roborock_s7_maxv_main_brush_time_left,262165,2024-09-21T17:47:37.025Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-22T07:27:10.958Z
sensor.roborock_s7_maxv_main_brush_time_left,262165,2024-09-22T07:27:41.032Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-22T10:52:47.945Z
sensor.roborock_s7_maxv_main_brush_time_left,262165,2024-09-22T10:53:18.013Z
sensor.roborock_s7_maxv_main_brush_time_left,258094,2024-09-22T12:24:49.105Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-22T15:30:55.962Z
sensor.roborock_s7_maxv_main_brush_time_left,258094,2024-09-22T15:31:26.034Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-23T10:52:48.589Z
sensor.roborock_s7_maxv_main_brush_time_left,258094,2024-09-23T10:53:18.057Z
sensor.roborock_s7_maxv_main_brush_time_left,253937,2024-09-23T12:34:18.102Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-23T16:02:48.995Z
sensor.roborock_s7_maxv_main_brush_time_left,253937,2024-09-23T16:03:19.055Z
sensor.roborock_s7_maxv_main_brush_time_left,253044,2024-09-23T23:53:49.057Z
sensor.roborock_s7_maxv_main_brush_time_left,unavailable,2024-09-24T00:55:54.963Z
sensor.roborock_s7_maxv_main_brush_time_left,253044,2024-09-24T00:56:25.037Z
sensor.roborock_s7_maxv_side_brush_time_left,unavailable,2024-09-17T09:15:53.765Z
sensor.roborock_s7_maxv_side_brush_time_left,426538,2024-09-17T09:18:39.828Z
sensor.roborock_s7_maxv_side_brush_time_left,unavailable,2024-09-17T09:20:13.797Z
sensor.roborock_s7_maxv_side_brush_time_left,426538,2024-09-17T09:21:44.855Z
sensor.roborock_s7_maxv_side_brush_time_left,unavailable,2024-09-17T09:22:44.778Z
sensor.roborock_s7_maxv_side_brush_time_left,426538,2024-09-17T09:23:14.881Z
sensor.roborock_s7_maxv_side_brush_time_left,unavailable,2024-09-17T09:25:14.758Z
sensor.roborock_s7_maxv_side_brush_time_left,426538,2024-09-17T09:25:44.873Z
sensor.roborock_s7_maxv_side_brush_time_left,unavailable,2024-09-17T09:28:44.788Z
sensor.roborock_s7_maxv_side_brush_time_left,426538,2024-09-17T09:29:14.891Z
sensor.roborock_s7_maxv_side_brush_time_left,unavailable,2024-09-17T10:52:16.768Z
sensor.roborock_s7_maxv_side_brush_time_left,426538,2024-09-17T10:52:46.889Z
sensor.roborock_s7_maxv_side_brush_time_left,423699,2024-09-17T12:27:16.825Z
sensor.roborock_s7_maxv_side_brush_time_left,unavailable,2024-09-17T19:53:21.766Z
sensor.roborock_s7_maxv_side_brush_time_left,423699,2024-09-17T19:53:51.887Z
sensor.roborock_s7_maxv_side_brush_time_left,unavailable,2024-09-17T20:14:25.779Z
sensor.roborock_s7_maxv_side_brush_time_left,423699,2024-09-17T20:14:55.878Z
sensor.roborock_s7_maxv_side_brush_time_left,unavailable,2024-09-18T10:52:40.633Z
sensor.roborock_s7_maxv_side_brush_time_left,423699,2024-09-18T10:53:09.873Z
sensor.roborock_s7_maxv_side_brush_time_left,419557,2024-09-18T12:32:39.860Z
sensor.roborock_s7_maxv_side_brush_time_left,unavailable,2024-09-18T21:37:43.774Z
sensor.roborock_s7_maxv_side_brush_time_left,419557,2024-09-18T21:38:13.847Z
sensor.roborock_s7_maxv_side_brush_time_left,unavailable,2024-09-18T23:05:47.778Z
